giorno;Gennaio;Febbraio;Marzo;Aprile;Maggio;Giugno;Luglio;Agosto;Settembre;Ottobre;Novembre;Dicembre
1;0;7,2;33,9;0;8,5;4,7;0;0;2,6;0;0;1,8
2;1,8;7,4;3,4;0;21,8;0;0;0;2,2;1,4;0;43,1
3;3,8;4,4;1,2;0;11,6;0;0;1,8;0;0;0;51,5
4;9,6;17,5;22,5;8,3;0,8;0;0;0;0;0;5,9;5,2
5;11,5;8,6;0;0,6;0;0;0;0;0;0;0;12,6
6;0;9,1;0;0;0;0;0;0;0,4;0;0;6,4
7;0;1,2;0;0;0;0;0;0;0;0;25,6;3
8;0;12,4;0;0;0;0;0;0;0;0;0,4;0
9;0;30,1;0;0,4;0;0;0;0;0;0;0;0
10;0;10,2;0;0;0;0;6,7;0;2,2;0;0;0
11;0;1,6;0;0;0;0;0;0;15,7;0;0;0
12;0;0,6;0;0;0;0;1,2;0;4;0;18,6;0
13;0;0,2;0;0;0,4;0;19,4;0;0;0;12;0
14;25,9;0;0;0;0;2,2;4,2;0;0;0;0;0
15;0,2;0;0;12,1;0;0,4;0;0;0;0;23,5;0
16;0;0;0;0;0;71,9;0;0;0;0;7;28,9
17;0,2;0;0;0;0;36;0;0;0;0;28,1;7
18;0;0;0;0;0;2,2;0;0;0;0;4,2;0,2
19;2,4;0;0;11,3;0;0,4;0;0;0;0;0,2;0
20;12,3;3,6;0;0,6;0;0;0;0;0;0;0;1,6
21;9,4;0;0;0;0;0;13,8;25,8;0;0;0;0
22;2;8,6;0;0;0;0;25,1;0;0;0,2;0;0
23;3,8;8;1,6;3,6;0;0;0,4;0;0;0;0;0
24;24,3;0;2,4;0;0;0;0,2;0;0;0;0;0
25;0,6;0;9,8;0;0,2;2,6;0;0;2,6;0;0;0
26;0;5,6;0;4,6;0;1,6;1,2;0;0;0;3,4;5,8
27;9,2;0,6;49,7;6,2;0;0;0;0;0;0;1,6;0,4
28;0,6;4;1,2;1,4;0;0;0;0;0;0;0;11,3
29;15,4;---;0;17;2;0;0;0;0;0;0;0
30;2,2;---;0;0,6;0;0;4,2;0;0;0;0,4;0
31;18,8;---;0;---;0;---;0;0;---;0;---;0
